S.R.No.,Title,Colors,Case_style,,
covers-1-(116).png,Haters Gonna Hate,,"comic-and-cartoon, humour, quirky, profession-and-personality, fashion",,
covers-1-(117).png,Bubble Girl,,"comic-and-cartoon, humour, quirky, profession-and-personality, fashion",,
covers-1-(118).png,Grow Your Beard  ,,"typography, humour, quirky, profession-and-personality, fashion",,
covers-1-(120).png,Look In My Eyes,,"typography, humour, quirky, profession-and-personality, fashion",,
covers-1-(122).png,I Got The Power,,"humour, quirky, profession-and-personality, fashion",,
covers-1-(130).png,Nostalgic,,"auto-and-transportation, retro",,
covers-1-(131).png,Legendary,,"auto-and-transportation, retro, illustration",,
covers-1-(132).png,Yellow Classic,,"auto-and-transportation, retro",,
covers-1-(133).png,Air O Plane,,"auto-and-transportation, retro, illustration",,
covers-1-(134).png,Retro Magic,,"auto-and-transportation, retro",,
covers-1-(136).png,Red Cycle Art,,"auto-and-transportation, retro",,
covers-1-(139).png,Pop Cycle ,,auto-and-transportation,,
covers-1-(141).png,Austin Healey,,"auto-and-transportation, quirky, 3d, retro, fashion",,
covers-1-(142).png,Black Magic,,"auto-and-transportation, quirky, 3d, retro, fashion",,
covers-1-(143).png,Retro Chervolet,,"auto-and-transportation, quirky, 3d, retro, fashion",,
covers-1-(146).png,Angry Rickshaw ,,"auto-and-transportation, quirky, 3d, humour",,
covers-1-(147).png,Satrangi Re,,"auto-and-transportation, retro",,
covers-1-(149).png,Come With Me,,"auto-and-transportation, retro",,
covers-1-(150).png,Orange Ride,,"auto-and-transportation, retro",,
covers-1-(153).png,Kitna Hua ,,"auto-and-transportation, desi",,
covers-1-(154).png,Antique Gun,,"weapon, retro",,
covers-1-(155).png,A.K. 47,,weapon,,
covers-1-(157).png,Swedish Vodka,,party,,
covers-1-(160).png,Vinatge Horn,,"desi, quirky, auto-and-transportation, humour",,
covers-1-(161).png,For Hire,,"desi, quirky, auto-and-transportation, humour",,
covers-1-(162).png,Meter Pop Art,,"desi, quirky, auto-and-transportation, illustration",,
covers-1-(165).png,Look With Affection,,"desi, quirky, auto-and-transportation, humour, comic-and-cartoon",,
covers-1-(169).png,Bubble Love,,"party, 3d, quirky",,
covers-1-(173).png,Cover Me Up,,"party, quirky, 3d",,
covers-1-(175).png,No Smoking,,"party, humour, 3d, quirky",,
covers-1-(177).png,Light Me Up,,"party, 3d, quirky",,
covers-1-(184).png,Let's Drink,,"typography, party, humour",,
covers-1-(185).png,Rum Only,,"3d, quirky, party",,
covers-1-(186).png,Canned  Soup ,,"3d, quirky",,
covers-1-(188).png,Antique Sword Handle,,"weapon, 3d, quirky",,
covers-1-(195).png,5 bullets,,weapon,,
covers-1-(196).png,Lemon Magic,,"party, typography, humour",,
covers-1-(199).png,Love is in the Air,,party,,
covers-1-(203).png,Vintage Stamps,,"retro, 3d",,
covers-1-(210).png,Warning You,,"party, typography, humour, quirky",,
covers-1-(211).png,Drinking Enthusiast,,"party, typography, humour, quirky",,
covers-1-(214).png,Antique Knife,,"weapon, retro",,
covers-1-(215).png,Bullet Hi Bullet,,weapon,,
covers-1-(216).png,Shoot Them Up,,weapon,,
covers-1-(218).png,Koftgiri Art,,"retro, 3d",,
covers-1-(220).png,Better Life,,"fashion, humour, profession-and-personality",,
covers-1-(221).png,Cool Moustache ,,"fashion, profession-and-personality, quirky",,
covers-1-(222).png,How Am I Looking,,"fashion, profession-and-personality, quirky",,
,,,,,
,,,,,
,,,,,
bhishoom-2-1.png,Bhaag Milkha Bhaag,"Grey , Black , White","comic-and-cartoon, graphic, movies-and-television, sports, famous, typography, profession-and-personality",,
bhishoom-2-2.png,A BEER chick,"Blue , White , Red","humour, typography, comic-and-cartoon, animals, party, profession-and-personality, fashion",,
bhishoom-2-3.png,Party Mode,"Black , Green , White","typography, graphic, party, quirky, music",,
bhishoom-2-4.png,AC and DC,"Black , Red , Green","graphic, party, famous, music",,
bhishoom-2-5.png,Airbourne,"Black , Red , White","graphic, movies-and-television, famous, animals",,
bhishoom-2-6.png,Aisi Deewangi ,"Black , White , Red","humour, comic-and-cartoon, typography, quirky, desi, movies-and-television",,
bhishoom-2-7.png,All Day Sport,"Green , Red , Yellow","graphic, sports, famous",,
bhishoom-2-8.png,Masquerade,"Orange , Black",graphic,,
bhishoom-2-9.png,Anda Ka Funda,"Orange , Yellow , White","humour, graphic, comic-and-cartoon, animals, quirky",,
bhishoom-2-10.png,Black And White ,"Grey , White , Black","quirky, typography, comic-and-cartoon, animals, graphic",,
bhishoom-2-11.png,Anger Management,"Grey , Black , Red","humour, comic-and-cartoon, animals, quirky, comic-and-cartoon",,
bhishoom-2-12.png,Angry Avenger,"Red , White , Green","comic-and-cartoon, comic-and-cartoon, movies-and-television, humour, quirky, animals",,
bhishoom-2-13.png,Zor Ka Jhatka ,"Black , White","graphic, quirky, humour",,
bhishoom-2-14.png,Angry Peacock,"Red , Orange , Green","graphic, comic-and-cartoon, humour, animals, quirky, weapon",,
bhishoom-2-15.png,Suar Ke Patthe,"Green , Red , White","humour, comic-and-cartoon, animals, typography, quirky",,
bhishoom-2-16.png,Incredible Apple,"Black , Green","graphic, typography, famous",,
bhishoom-2-17.png,Gabbar,"purple , Green , Black","movies-and-television, quirky, humour, typography, famous",,
bhishoom-2-18.png,Astranaut's Imagination,"Black , Blue , White","graphic, quirky",,
bhishoom-2-19.png,Lionel Messi 10,"Black , White , Blue","graphic, famous, sports",,
bhishoom-2-20.png,Baba Ji's Thenga,"Black , Red , Orange","graphic, typography, humour, quirky, desi",,
bhishoom-2-21.png,Yoga se Hoga,"Blue , Black","humour, comic-and-cartoon, typography, quirky, desi",,
bhishoom-2-22.png,Kuwara Aadmi,"Black , Red , Yellow","humour, comic-and-cartoon, typography, quirky, desi",,
bhishoom-2-23.png,Backstreet Cows,"Blue , Green , White","graphic, humour, animals, music",,
bhishoom-2-24.png,Bang Bang,"Yellow , Red , White","movies-and-television, graphic, typography, comic-and-cartoon",,
bhishoom-2-25.png,Bas Kar Bhai,"Black , Red , White","typography, humour, graphic, desi, auto-and-transportation",,
bhishoom-2-26.png,Batman,"Blue , Black","graphic, comic-and-cartoon, famous, movies-and-television",,
bhishoom-2-27.png,Its King Kong,"Black , White","graphic, animals, quirky, humour",,
bhishoom-2-28.png,Bhaag Bolt Bhaag ,"Black , Yellow , White","graphic, sports, famous",,
bhishoom-2-29.png,Bhai Hai Tu Mera,"Black , Red , White","graphic, typography, humour, comic-and-cartoon, party, quirky, desi",,
bhishoom-2-30.png,BLOCKED ,Blue,"graphic, typography, humour, party, quirky",,
bhishoom-2-31.png,Breaking Bad ,"Black , White","graphic, famous, movies-and-television",,
bhishoom-2-32.png,teen bewakoof,"Black , Red , Yellow","graphic, desi, humour, movies-and-television, party, quirky, famous",,
bhishoom-2-33.png,Captain India,"Green , White , Yellow","comic-and-cartoon, quirky, desi, graphic",,
bhishoom-2-34.png,Hukam Ka Ikka,Red,graphic,,
bhishoom-2-35.png,Chemical X,"Black , Green , Yellow","graphic, humour, quirky, typography",,
bhishoom-2-36.png,Chicken Tikka,"Black , Green , Yellow","humour, desi, typography, animals, party, quirky",,
bhishoom-2-37.png,Fevicaol Ka JOD ,"Blue , White , Red","typography, quirky, desi, humour, animals",,
bhishoom-2-38.png,Cute Messi ,"Blue , Black , White","comic-and-cartoon, graphic, sports, famous",,
bhishoom-2-39.png,Cute Super Heros,"Red , Black , Yellow","humour, comic-and-cartoon, animals, graphic",,
bhishoom-2-40.png,Dark Knights,"Black , Blue","graphic, comic-and-cartoon, famous, movies-and-television",,
bhishoom-2-41.png,Dark Side ,"Black , White , Yellow","graphic, party, movies-and-television, famous",,
bhishoom-2-42.png,Ball Z,"Black , Yellow , Blue","graphic, movies-and-television, famous, comic-and-cartoon",,
bhishoom-2-43.png,Sudh Cricket ,"Red , Yellow , Black","typography, desi, humour, quirky, sports",,
bhishoom-2-44.png,Dead Mouse,"Black , Red , White","graphic, party, animals, famous",,
bhishoom-2-45.png,DeadMau 5,"Black , Red","graphic, party, animals, famous",,
bhishoom-2-46.png,Despicable Me,"Yellow , Black , White","graphic, comic-and-cartoon, movies-and-television, famous",,
bhishoom-2-47.png,Devil Dirt,"Black , Red , White","graphic, comic-and-cartoon, movies-and-television, famous, weapon",,
bhishoom-2-48.png,Devil Mera Yaar ,"Black , Blue","graphic, party, quirky",,
