S.R.No.,Title,Colors,Case_style,,
221.jpg,Be Yourself,"Pink, Blue","typography, profession-and-personality",,
222.jpg,Don't Make Me Walk,"Blue, Red, Black","typography, profession-and-personality",,
223.jpg,Beautiful Excuse,"Green , Grey , Yellow","humour, illustration, party, typography, graphic",,
224.jpg,Never Stop Trying,"Red, Yellow, Pink","typography, profession-and-personality",,
225.jpg,Start It..!!,"Black, Red, Green","typography, profession-and-personality",,
226.jpg,Sleep Less Dream More,"Red, Green","typography, profession-and-personality",,
227.jpg,Stop Thinking Start Doing,Orange,"typography, profession-and-personality",,
228.jpg,Be Your Own Hero,"Orange, Blue","typography, profession-and-personality",,
229.jpg,Be Happy,"Green , Voilet , White","typography, profession-and-personality",,
230.jpg,Jaadu Ki Jhappi,"Green , White , Yellow","party, typography, profession-and-personality",,
231.jpg,Dream To Achive,"Green , Yellow","typography, profession-and-personality",,
232.jpg,I M Possible,"Red , Yellow",typography,,
233.jpg,Biceps are Important,"Blue, Black","typography, gym-and-health, humour, profession-and-personality",,
234.jpg,Supermodel Ka Tashan,"Black, Red, Green","typography, gym-and-health, humour, profession-and-personality",,
235.jpg,Mood Changer,"Brown , Red , White","sports, typography, gym-and-health, profession-and-personality",,
236.jpg,I love My INDIA,"Orange , Yellow","desi, humour, political, typography, quirky",,
237.jpg,Ummed,"Black , Green , Yellow","desi, typography",,
238.jpg,work on your dreams,"Yellow,Black","comic-and-cartoon, typography",,
239.jpg,WORK-O-HOLICS,"Red , White , Yellow","humour, party, typography, quirky",,
240.jpg,Humka Peeni hai,"Brown , White , Yellow","humour, party, typography, quirky",,
241.jpg,Beerdom,"Red , White","humour, party, typography, quirky",,
242.jpg,Little Becomes A Lot,"Black , Orange , White",typography,,
243.jpg,Truth over Lie,"Green , Red , White","typography, profession-and-personality",,
244.jpg,Attitude hai BOSS,"Red , White","typography, profession-and-personality",,
245.jpg,Creativity is Messy,"Black , Pink","typography, profession-and-personality",,
246.jpg,only god can judge me,"Yellow,Green","typography, profession-and-personality",,
247.jpg,Don't Grow up,"Red , White , Yellow","typography, humour",,
248.jpg,Ghanta,Brown,"typography, quirky, party, humour",,
249.jpg,Speak your mind,"Red, Black",typography,,
250.jpg,bawali pooch,Red,"typography, quirky, humour, desi",,
251.jpg,lets make love,Yellow,"typography, party, humour, quirky",,
252.jpg,Brown Wooden Plank,"Black , Brown",textures-and-patterns,,
253.jpg,Tricolor Wood,"Green , Red , Voilet",textures-and-patterns,,
254.jpg,Multicolor Wooden Plank,"Green , Pink , Voilet",textures-and-patterns,,
255.jpg,Vintage Wood,"Black , Grey , White",textures-and-patterns,,
256.jpg,Brown Plank,"Blue , Brown",textures-and-patterns,,
257.jpg,Multicolour Plank,"Pink , Yellow , Brown","textures-and-patterns, floral",,
258.jpg,Colourful Wooden Planks,"Brown , Green , Red",textures-and-patterns,,
259.jpg,Beautiful night,Blue,"cities-and-travel, nature-and-landscape",,
260.jpg,skyscrapers,"Voilet , Yellow","cities-and-travel, nature-and-landscape, famous",,
261.jpg,Statue Of Liberty,"Blue , Brown , Green","cities-and-travel, famous",,
262.jpg, The Rocks,"Blue , Grey",nature-and-landscape,,
263.jpg,champ se lise,"Red , Yellow","cities-and-travel, famous",,
264.jpg,Pyramid,"Blue , Brown","cities-and-travel, famous",,
267.jpg,Military green pattern,"Green , White","illustration, textures-and-patterns",,
268.jpg,Military brown Camouflage,Brown,"illustration, textures-and-patterns",,
270.jpg,Wah taj..!!,"Blue , Grey , Yellow","cities-and-travel, nature-and-landscape, famous",,
271.jpg,A Night At Venice,"Blue , Brown , Yellow",cities-and-travel,,
272.jpg,Merry Christmas,"Grey , Pink",animals,,
273.jpg,Owl Art,"Orange , Red , White","animals, comic-and-cartoon",,
274.jpg,Imagine Believe Achieve,"Black , Blue , Yellow",typography,,
275.jpg,Hermoso Spain ,Yellow,cities-and-travel,,
276.jpg,Alluring london,"Green , Pink","cities-and-travel, nature-and-landscape",,
277.jpg,City River,"Blue , White",cities-and-travel,,
278.jpg,Michael Jackson,"Black , Green , Voilet","famous, illustration, movies-and-television",,
279.jpg,Muller,"Black , Red","famous, jerseys, sports",,
280.jpg,Messi,"Pink , Voilet","famous, jerseys, sports",,
281.jpg,Neymar Jr.,"Green , Yellow","famous, jerseys, sports",,
282.jpg,Life Mast Hai,"Orange , Voilet , White","desi, typography",,
283.jpg,Hasna Zaroori hai,"Green , Red , White","typography, desi, humour",,
284.jpg,No Shortcut To Success,"Grey , Orange , White",typography,,
285.jpg,Work Hard Get Lucky,"Grey , Red , Voilet",typography,,
286.jpg,Keh Ke Lunga,"Grey , White , Yellow",movies-and-television,,
287.jpg,work gets recognition,"Black , Blue , White",typography,,
288.jpg,Music- E- Skull,"Grey , Yellow",graphic,,
290.jpg,Spiderman,"Blue , Red","comic-and-cartoon, famous, movies-and-television",,
291.jpg,sunset at beach,"Orange , Red , Voilet","cities-and-travel, nature-and-landscape",,
293.jpg,ishq wala love ,"Yellow,grey,Green","animals, comic-and-cartoon",,
294.jpg,Life In My Head,"Brown , White","humour, typography, profession-and-personality",,
295.jpg,Success By Passion,"Black , Red , White","typography, profession-and-personality",,
296.jpg,pug mark,"Black , Orange , Red",animals,,
297.jpg,So Ley,"Black , White , Yellow","humour, movies-and-television",,
299.jpg,macho man, Brown,"3d, graphic, quirky",,
300.jpg,David Luiz,"Green , Yellow","famous, jerseys, sports",,
301.jpg,Tera Kya Hoga Kaaliya,"Grey , White , Yellow","humour, movies-and-television",,
302.jpg,Yoga,"Black , Blue , Orange","sports, typography, gym-and-health",,
303.jpg,Do not Pee Here,"Pink , Yellow","humour, desi, typography, quirky, party",,
304.jpg,Di Maria,"Red , Yellow","famous, jerseys, sports",,
305.jpg,mario video game,"Blue,Green","3d, sports, comic-and-cartoon",,
306.jpg,BATTLE CITY GAME,"Green,Black","3d, sports, comic-and-cartoon",,
307.jpg,Palm Beach,"Green , blue , brown","nature-and-landscape, cities-and-travel",,
308.jpg,Night Owl,"Black , Grey , Orange","animals, 3d, quirky",,
309.jpg,Home Alone!,"Black , Red , White","animals, comic-and-cartoon",,
310.jpg,Stripes Cat,"Orange , Red , White","animals, comic-and-cartoon",,
311.jpg,SWISS COW,"Grey , Pink , White","animals, comic-and-cartoon",,
312.jpg,Skating panda,"pink,Black","animals, comic-and-cartoon",,
313.jpg,kitna no. hai bhai,"Pink , White",animals,,
314.jpg,Batman,"Blue , Grey","comic-and-cartoon, famous, illustration, movies-and-television",,
315.jpg,Batman Sketch,"Blue , Grey","comic-and-cartoon, famous, illustration, movies-and-television",,
316.jpg,colourful zig zag pattern,"Brown , Pink , Red",textures-and-patterns,,
317.jpg,Dimaag ka dahi,"Orange , Black , Red","typography, comic-and-cartoon, desi, humour",,
318.jpg,Duniya Gayi Tel Lene,"Green , Red , Yellow","desi, humour, typography, quirky",,
319.jpg,Take me Home Cat,"Brown , Pink , Voilet","animals, comic-and-cartoon, hearts",,
320.jpg,Daastaan E ULLU,"Black , Green , Orange","animals, comic-and-cartoon, illustration",,
321.jpg,Kitty party,"Blue , Grey , White","animals, comic-and-cartoon, illustration",,
