S.R.No.,Title,Colors,Case_style,,
corel-img/covers-1-(222).jpg,How Am I Looking,,"fashion, profession-and-personality, quirky",,
,,,,,
,,,,,
,,,,,
bhishoom-2-1.jpg,Bhaag Milkha Bhaag,"Grey , Black , White","comic-and-cartoon, graphic, movies-and-television, sports, famous, typography, profession-and-personality",,
bhishoom-2-2.jpg,A BEER chick,"Blue , White , Red","humour, typography, comic-and-cartoon, animals, party, profession-and-personality, fashion",,
bhishoom-2-3.jpg,Party Mode,"Black , Green , White","typography, graphic, party, quirky, music",,
bhishoom-2-4.jpg,AC and DC,"Black , Red , Green","graphic, party, famous, music",,
bhishoom-2-5.jpg,Airbourne,"Black , Red , White","graphic, movies-and-television, famous, animals",,
bhishoom-2-6.jpg,Aisi Deewangi ,"Black , White , Red","humour, comic-and-cartoon, typography, quirky, desi, movies-and-television",,
bhishoom-2-7.jpg,All Day Sport,"Green , Red , Yellow","graphic, sports, famous",,
bhishoom-2-8.jpg,Masquerade,"Orange , Black",graphic,,
bhishoom-2-9.jpg,Anda Ka Funda,"Orange , Yellow , White","humour, graphic, comic-and-cartoon, animals, quirky",,
bhishoom-2-10.jpg,Black And White ,"Grey , White , Black","quirky, typography, comic-and-cartoon, animals, graphic",,
bhishoom-2-11.jpg,Anger Management,"Grey , Black , Red","humour, comic-and-cartoon, animals, quirky, comic-and-cartoon",,
bhishoom-2-12.jpg,Angry Avenger,"Red , White , Green","comic-and-cartoon, comic-and-cartoon, movies-and-television, humour, quirky, animals",,
bhishoom-2-13.jpg,Zor Ka Jhatka ,"Black , White","graphic, quirky, humour",,
bhishoom-2-14.jpg,Angry Peacock,"Red , Orange , Green","graphic, comic-and-cartoon, humour, animals, quirky, weapon",,
bhishoom-2-15.jpg,Suar Ke Patthe,"Green , Red , White","humour, comic-and-cartoon, animals, typography, quirky",,
bhishoom-2-16.jpg,Incredible Apple,"Black , Green","graphic, typography, famous",,
bhishoom-2-17.jpg,Gabbar,"purple , Green , Black","movies-and-television, quirky, humour, typography, famous",,
bhishoom-2-18.jpg,Astranaut's Imagination,"Black , Blue , White","graphic, quirky",,
bhishoom-2-19.jpg,Lionel Messi 10,"Black , White , Blue","graphic, famous, sports",,
bhishoom-2-20.jpg,Baba Ji's Thenga,"Black , Red , Orange","graphic, typography, humour, quirky, desi",,
bhishoom-2-21.jpg,Yoga se Hoga,"Blue , Black","humour, comic-and-cartoon, typography, quirky, desi",,
bhishoom-2-22.jpg,Kuwara Aadmi,"Black , Red , Yellow","humour, comic-and-cartoon, typography, quirky, desi",,
bhishoom-2-23.jpg,Backstreet Cows,"Blue , Green , White","graphic, humour, animals, music",,
bhishoom-2-24.jpg,Bang Bang,"Yellow , Red , White","movies-and-television, graphic, typography, comic-and-cartoon",,
bhishoom-2-25.jpg,Bas Kar Bhai,"Black , Red , White","typography, humour, graphic, desi, auto-and-transportation",,
bhishoom-2-26.jpg,Batman,"Blue , Black","graphic, comic-and-cartoon, famous, movies-and-television",,
bhishoom-2-27.jpg,Its King Kong,"Black , White","graphic, animals, quirky, humour",,
bhishoom-2-28.jpg,Bhaag Bolt Bhaag ,"Black , Yellow , White","graphic, sports, famous",,
bhishoom-2-29.jpg,Bhai Hai Tu Mera,"Black , Red , White","graphic, typography, humour, comic-and-cartoon, party, quirky, desi",,
bhishoom-2-30.jpg,BLOCKED ,Blue,"graphic, typography, humour, party, quirky",,
bhishoom-2-31.jpg,Breaking Bad ,"Black , White","graphic, famous, movies-and-television",,
bhishoom-2-32.jpg,teen bewakoof,"Black , Red , Yellow","graphic, desi, humour, movies-and-television, party, quirky, famous",,
bhishoom-2-33.jpg,Captain India,"Green , White , Yellow","comic-and-cartoon, quirky, desi, graphic",,
bhishoom-2-34.jpg,Hukam Ka Ikka,Red,graphic,,
bhishoom-2-35.jpg,Chemical X,"Black , Green , Yellow","graphic, humour, quirky, typography",,
bhishoom-2-36.jpg,Chicken Tikka,"Black , Green , Yellow","humour, desi, typography, animals, party, quirky",,
bhishoom-2-37.jpg,Fevicaol Ka JOD ,"Blue , White , Red","typography, quirky, desi, humour, animals",,
bhishoom-2-38.jpg,Cute Messi ,"Blue , Black , White","comic-and-cartoon, graphic, sports, famous",,
bhishoom-2-39.jpg,Cute Super Heros,"Red , Black , Yellow","humour, comic-and-cartoon, animals, graphic",,
bhishoom-2-40.jpg,Dark Knights,"Black , Blue","graphic, comic-and-cartoon, famous, movies-and-television",,
bhishoom-2-41.jpg,Dark Side ,"Black , White , Yellow","graphic, party, movies-and-television, famous",,
bhishoom-2-42.jpg,Ball Z,"Black , Yellow , Blue","graphic, movies-and-television, famous, comic-and-cartoon",,
bhishoom-2-43.jpg,Sudh Cricket ,"Red , Yellow , Black","typography, desi, humour, quirky, sports",,
bhishoom-2-44.jpg,Dead Mouse,"Black , Red , White","graphic, party, animals, famous",,
bhishoom-2-45.jpg,DeadMau 5,"Black , Red","graphic, party, animals, famous",,
bhishoom-2-46.jpg,Despicable Me,"Yellow , Black , White","graphic, comic-and-cartoon, movies-and-television, famous",,
bhishoom-2-47.jpg,Devil Dirt,"Black , Red , White","graphic, comic-and-cartoon, movies-and-television, famous, weapon",,
bhishoom-2-48.jpg,Devil Mera Yaar ,"Black , Blue","graphic, party, quirky",,
bhishoom-2-49.jpg,Touched My Heart,"brown , White","graphic, typography, humour, quirky",,
bhishoom-2-50.jpg,Brain Storm,"Black , Red , Green","graphic, typography, humour, comic-and-cartoon, quirky",,
bhishoom-2-51.jpg,Dinner with Batman,"Black , White , Yellow","graphic, comic-and-cartoon, famous, movies-and-television, humour, quirky",,
bhishoom-2-52.jpg,DJ FRANKENSTEIN,"Black , Green","graphic, comic-and-cartoon, party, movies-and-television, famous, music",,
bhishoom-2-53.jpg,Bas 2 Ghoont ,"Black , White , Red","party, comic-and-cartoon, typography, humour, desi, graphic",,
bhishoom-2-54.jpg,Do It MAHI Way!,"Black , Blue , White","graphic, sports, famous, desi",,
bhishoom-2-55.jpg,Do Not Escape,Grey,"humour, quirky, graphic, typography",,
bhishoom-2-56.jpg,Lal BULL,"Yellow , Red , Black","humour, typography, graphic, comic-and-cartoon, party, famous, animals, quirky",,
bhishoom-2-57.jpg,Dragon Ball Z,"Blue , Green","graphic, typography, quirky, comic-and-cartoon",,
bhishoom-2-58.jpg,Drink BEER save Water!,"Black , White , Red","graphic, comic-and-cartoon, quirky, party, humour",,
bhishoom-2-59.jpg,Eiffel Chain ?,"Red , Black","typography, humour, graphic, desi, party, quirky",,
bhishoom-2-60.jpg,Ek Hi Vajah ,"Red , Yellow , Orange","graphic, typography, humour, comic-and-cartoon, quirky, desi",,
bhishoom-2-61.jpg,B.tech Future ,"Black , Yellow","graphic, humour, quirky, desi, profession-and-personality",,
bhishoom-2-62.jpg,Evil Returns,Black,graphic,,
bhishoom-2-63.jpg,Fart Avengers,"Red , Yellow","comic-and-cartoon, quirky, humour, movies-and-television, famous",,
bhishoom-2-64.jpg,Chipkale Saiyaan ,"Yellow , Red , Blue","movies-and-television, typography, humour, graphic, famous",,
bhishoom-2-65.jpg,FIFA  Fever!,"Blue , Red , Orange","graphic, comic-and-cartoon, quirky, sports",,
bhishoom-2-66.jpg,Fight Club,"Black , Red","graphic, movies-and-television, famous",,
bhishoom-2-67.jpg,Finally Escaped!,"Red , Blue , White","typography, humour, quirky, comic-and-cartoon, graphic, weapon",,
bhishoom-2-68.jpg,Friendly Fire,"Blue , Black","typography, humour, quirky, comic-and-cartoon, graphic",,
bhishoom-2-69.jpg,Androids hunger,"Grey , Green","graphic, humour, quirky, comic-and-cartoon",,
bhishoom-2-70.jpg,Death by Petrol ,"Black , White","graphic, humour, quirky, auto-and-transportation",,
bhishoom-2-71.jpg,Funky Zombie!,"Black , Red , Blue","graphic, quirky",,
bhishoom-2-72.jpg,Genius Minds,"Black , Red","graphic, typography, quirky, humour",,
bhishoom-2-73.jpg,Steve Jobs,"Blue , purple , Yellow","famous, graphic",,
bhishoom-2-74.jpg,Daft Punk,Black,"graphic, famous, music",,
bhishoom-2-75.jpg,Bhojpuri Ghajini ,"Black , Orange , White","humour, graphic, quirky, movies-and-television, typography, desi",,
bhishoom-2-76.jpg,Ghost Rider!,"purple , Orange , Black","humour, quirky, graphic, auto-and-transportation",,
bhishoom-2-77.jpg,Girlfriend ERROR!,"Blue , White","humour, graphic, typography, quirky",,
bhishoom-2-78.jpg,Go Drunk,"Green , Black","graphic, quirky, movies-and-television, typography",,
bhishoom-2-79.jpg,Go Gloomy,"Red , White , brown","animals, comic-and-cartoon, graphic",,
bhishoom-2-80.jpg,Crime Master Gogo ,"Green , Black","quirky, comic-and-cartoon, movies-and-television, graphic, famous",,
bhishoom-2-81.jpg,Goten …BALL Z,"purple , Black , Orange","quirky, typography, graphic, comic-and-cartoon",,
bhishoom-2-82.jpg,Guruji Chelaji,"Red , Yellow , White","quirky, typography, humour, desi, graphic",,
bhishoom-2-83.jpg,Hass mat pagli,"Green , Black , White","graphic, typography, quirky, humour, desi, auto-and-transportation, party",,
bhishoom-2-84.jpg,It’s A Goal,"Orange , Green , White","sports, famous",,
bhishoom-2-85.jpg,Horn Stars,Red,"humour, quirky, graphic, typography, party, comic-and-cartoon",,
bhishoom-2-86.jpg,Hukka Bar,"purple , Orange","humour, quirky, graphic, typography, party",,
bhishoom-2-87.jpg,Hulk A saurus,"Green , purple","comic-and-cartoon, humour, graphic, quirky, animals, movies-and-television",,
bhishoom-2-88.jpg,Allergic,"Black , Red","typography, humour, quirky, party",,
bhishoom-2-89.jpg,I Can See Everything ,"Black , White , Orange","humour, typography, graphic, quirky, desi",,
bhishoom-2-90.jpg,WILL YOU !,"Black , White","humour, typography, graphic, party, quirky",,
bhishoom-2-91.jpg,I like You !,"Blue , White","graphic, typography, quirky, humour",,
bhishoom-2-92.jpg,Incredible India!,"Green , Red , pink","comic-and-cartoon, animals, graphic, quirky, desi, gym-and-health",,
bhishoom-2-93.jpg,Size Zero,"Black , Blue , White","comic-and-cartoon, humour, graphic, quirky, animals",,
bhishoom-2-94.jpg,Dragon Ball Z ,"Grey , Yellow","quirky, comic-and-cartoon, movies-and-television, graphic, movies-and-television, famous",,
bhishoom-2-95.jpg,Its Dragon Ball Z,"purple , brown","quirky, typography, comic-and-cartoon, graphic, famous, movies-and-television",,
bhishoom-2-96.jpg,Jab Tak Hai Jaan ,"Yellow , White , Red","quirky, desi, humour, movies-and-television, typography, comic-and-cartoon, graphic, animals, weapon",,
bhishoom-2-97.jpg,Jailer o Saurus,"Black , Green","graphic, animals, quirky, desi, movies-and-television, humour",,
bhishoom-2-98.jpg,Big Boss,Black,"graphic, famous, movies-and-television",,
bhishoom-2-99.jpg,Ashtronishing,"Black , khaki","graphic, music, humour, quirky",,
bhishoom-2-100.jpg,Khallas!,"Black , Blue , White","graphic, humour, quirky, animals, typography, weapon",,
bhishoom-2-101.jpg,Khopdi ,"Black , Blue , White","graphic, humour, quirky, weapon",,
bhishoom-2-102.jpg,KILL DILL,"Green , Black , White","graphic, typography, desi, party, humour, quirky",,
bhishoom-2-103.jpg,Killer App,"Grey , Green , Red","graphic, humour, typography, quirky",,
bhishoom-2-104.jpg,Lucky Guy,"Black , Orange","typography, desi, party, quirky, humour",,
bhishoom-2-105.jpg,Batman v/s Superman,"Yellow , Red , Black","comic-and-cartoon, famous, graphic, movies-and-television",,
bhishoom-2-106.jpg,Knight Wolf,"Black , Blue , Red","animals, graphic, quirky",,
bhishoom-2-107.jpg,Knight Bear,"Black , Red , White","animals, movies-and-television, quirky, graphic",,
bhishoom-2-108.jpg,Kungfu Panda,"Black , White","movies-and-television, animals, quirky, graphic, humour, famous",,
bhishoom-2-109.jpg,Kya Haal Chaal?,"Black , Red , White","typography, graphic, quirky, desi, humour, party",,
bhishoom-2-110.jpg,Tumhare paas kya hai ?,"Black , Green , White","party, comic-and-cartoon, typography, quirky, humour, desi, graphic, movies-and-television",,
bhishoom-2-111.jpg,Pyar Ho Jayega,"Grey , Green , Blue","typography, desi, humour, quirky, graphic",,
bhishoom-2-112.jpg,Six Packs,"Blue , Black , brown","graphic, quirky, humour, party, gym-and-health",,
bhishoom-2-113.jpg,Hamara Dil ,"Green , White , Orange","typography, humour, graphic, desi, party, quirky",,
bhishoom-2-114.jpg,Messi Boy,"Blue , Green , Yellow","sports, famous, graphic",,
bhishoom-2-115.jpg,Mind Your Language,"Black , White , Green","graphic, typography, humour, comic-and-cartoon, party, quirky",,
bhishoom-2-116.jpg,Main Toh Superman,"Black , White , Red","graphic, typography, humour, comic-and-cartoon, party, quirky, profession-and-personality",,
bhishoom-2-117.jpg,Haramkhor,"Green , Yellow , White","typography, humour, desi, party, quirky",,
bhishoom-2-118.jpg,Mann ki Aankhien,"Blue , brown , cream","typography, desi, graphic, animals, humour",,
bhishoom-2-119.jpg,Masters in COMPUTERS ,"Grey , White , Red","typography, humour, graphic, party, quirky, profession-and-personality",,
bhishoom-2-120.jpg,Mechanical Marvel,"Blue , White , Red","graphic, typography, humour, quirky, comic-and-cartoon",,
bhishoom-2-121.jpg,Memes & Mario,"Black , Red , Blue","comic-and-cartoon, graphic, humour, quirky, famous",,
bhishoom-2-122.jpg,KYA POWER HAI ,"Black , Red , White","graphic, typography, humour, quirky, party",,
bhishoom-2-123.jpg,Mil Hi Gaya,"Red , White , brown","graphic, typography, humour, quirky, desi, party",,
bhishoom-2-124.jpg,Mind The Rules,"Red , Black , Blue","typography, graphic, quirky, desi, humour, party",,
bhishoom-2-125.jpg,MJ Special,"purple , Yellow , Blue","graphic, quirky, humour, famous",,
bhishoom-2-126.jpg,Shave The World,"Blue , White , Red","graphic, typography, humour, comic-and-cartoon, quirky",,
bhishoom-2-127.jpg,Get High And FLY ,"Yellow , White , Blue","graphic, typography, humour, comic-and-cartoon, party, quirky",,
bhishoom-2-128.jpg,Mr Bean Animated ,"brown , Yellow , White","comic-and-cartoon, movies-and-television, humour, famous",,
bhishoom-2-129.jpg,Music In My Soul,"Black , Blue , White","graphic, quirky, party, music",,
bhishoom-2-130.jpg,My NAME is BASANTI,"Yellow , Black , pink","movies-and-television, typography, desi, humour, party, quirky",,
bhishoom-2-131.jpg,Meri Pahunch,"Black , White","party, comic-and-cartoon, typography, quirky, humour, desi, graphic",,
bhishoom-2-132.jpg,Ninja Turtles,"Blue , Green , White","graphic, comic-and-cartoon, movies-and-television, humour",,
bhishoom-2-133.jpg,NO war…Only LOVE,"Black , White , brown","graphic, movies-and-television, comic-and-cartoon, famous",,
bhishoom-2-134.jpg,No Smoking please,"Black , Red , Orange","typography, humour, graphic, desi, party, quirky",,
bhishoom-2-135.jpg,Its Star Wars ,"Black , Green , Red","graphic, movies-and-television, comic-and-cartoon, famous",,
bhishoom-2-136.jpg,Its Daft Punk ,"Black , White , Red","graphic, music, party, famous",,
bhishoom-2-137.jpg,Only FOR you,"Black , Red","graphic, quirky, humour, party",,
bhishoom-2-138.jpg,Spiderman Effect,"Red , Blue , brown","graphic, comic-and-cartoon, quirky, party, movies-and-television, famous, humour",,
bhishoom-2-139.jpg,Monster America,"Green , Blue , Red","graphic, comic-and-cartoon, quirky, famous, humour, movies-and-television",,
bhishoom-2-140.jpg,TedaMAN,"Yellow , Red , Blue","graphic, comic-and-cartoon, quirky, famous, humour, movies-and-television",,
bhishoom-2-141.jpg,Before and After PARTY,"Green , Red , Black","party, humour, quirky, typography, fashion",,
bhishoom-2-142.jpg,PIRATES OF TOONPUR,"Black , Blue , Orange","graphic, comic-and-cartoon, humour, quirky",,
bhishoom-2-143.jpg,Padai Ke Side Effects,"Blue , Orange , cream","graphic, humour, party, quirky, comic-and-cartoon, famous",,
bhishoom-2-144.jpg,DON’T TELL MY DAD,"Green , White","typography, humour, party, quirky",,
bhishoom-2-145.jpg,Party abhi baaki hai ,"Orange , White , Red","graphic, party, desi, comic-and-cartoon, quirky, music, humour",,
bhishoom-2-146.jpg,Party OWL ,"Grey , brown , Yellow","graphic, humour, party, quirky, comic-and-cartoon, animals",,
bhishoom-2-147.jpg,Pause'tive,"Red , Yellow , White","graphic, typography, humour, quirky",,
bhishoom-2-148.jpg,Peene Ka Bahana,"brown , White , Red","typography, humour, graphic, desi, party, quirky",,
bhishoom-2-149.jpg,Phata Poster Nikla JOKER,"Blue , Orange , White","graphic, movies-and-television, famous",,
bhishoom-2-150.jpg,Drink Meter,"Black , Red , Green","graphic, typography, humour, party, quirky",,
bhishoom-2-151.jpg, Pakka Mat ,"Orange , White , Yellow","typography, desi, humour, quirky",,
bhishoom-2-152.jpg,Pug In Pocket ,"Blue , Orange , White","humour, comic-and-cartoon, animals, graphic, quirky",,
bhishoom-2-153.jpg,Pocket Me DRAGON ball Z,"Red , Black , Blue","graphic, comic-and-cartoon, quirky, humour",,
bhishoom-2-154.jpg,Point hai BAAT me,"Orange , White , Yellow","graphic, typography, humour, quirky",,
bhishoom-2-155.jpg,Golden Death,"Blue , Yellow , Black","graphic, quirky, humour, party",,
bhishoom-2-156.jpg,Puppy Kahin Ka ,"brown , Red , Yellow","graphic, typography, desi, humour, movies-and-television",,
bhishoom-2-157.jpg,RajiniCAN ,"Blue , Yellow , Green","graphic, humour, comic-and-cartoon, desi, famous, movies-and-television",,
bhishoom-2-158.jpg,Rowdy Bird,"Black , White , Red","movies-and-television, comic-and-cartoon, humour, desi, typography, animals",,
bhishoom-2-159.jpg,High 5,"Yellow , Blue , Black","graphic, humour, party, typography, quirky",,
bhishoom-2-160.jpg,Happy Haloween,"Black , White , Green","graphic, humour, quirky, party",,
bhishoom-2-161.jpg,NO Smoking ,"brown , White , Orange","graphic, humour, party, typography, quirky",,
bhishoom-2-162.jpg,Sexy Brain,"cream , Red , Blue","graphic, typography, party, profession-and-personality",,
bhishoom-2-163.jpg,Roadie special,"Red , White , Blue","graphic, movies-and-television, famous, comic-and-cartoon, quirky, desi, humour, profession-and-personality",,
bhishoom-2-164.jpg,Roar It My way,"Black , Red , White","graphic, animals",,
bhishoom-2-165.jpg,ROCK n ROLL!,"Black , Red , White","music, party, humour, typography",,
bhishoom-2-166.jpg,Rocket Ronaldo,"Red , White , Blue","graphic, sports, famous",,
bhishoom-2-167.jpg,RockSTAR,"Black , Yellow , Red","graphic, music, party, quirky, typography, humour, profession-and-personality",,
bhishoom-2-168.jpg,Don't say it,"Black , Blue , Orange","typography, desi, humour, quirky, graphic",,
bhishoom-2-169.jpg,Luv Weekends,"Black , White , Red","graphic, typography, humour, party, quirky",,
bhishoom-2-170.jpg,Sher Khan,"Black , gold , Yellow","graphic, animals, quirky",,
bhishoom-2-171.jpg,Shit HAPPENS,"Yellow , Black , White","graphic, humour, party, typography, quirky",,
bhishoom-2-172.jpg,Shortage of TIME,"Black , Red , White","graphic, party, typography, quirky, profession-and-personality",,
bhishoom-2-173.jpg,Singh Sahab,"Black , Red , Yellow","graphic, party, quirky, animals",,
bhishoom-2-174.jpg,Skull,"Black , White , brown","graphic, quirky, party",,
bhishoom-2-175.jpg,Sone Bhi Do YAARO ,"Black , Blue , White","graphic, quirky",,
bhishoom-2-176.jpg,SpongeBOB vs ZOMBIES,"Yellow , brown , Blue","graphic, quirky, comic-and-cartoon",,
bhishoom-2-177.jpg,Squeeze IT,"Black , brown , gray","graphic, quirky, humour, party",,
bhishoom-2-178.jpg,Star Attack,"Black , Blue , Orange","graphic, movies-and-television, famous",,
bhishoom-2-179.jpg,Super Mario ! Reloaded,"Yellow , White , Red","graphic, comic-and-cartoon, quirky, famous, humour",,
bhishoom-2-180.jpg,Super cow ,"Blue , White , Red","graphic, comic-and-cartoon, quirky, humour, animals",,
bhishoom-2-181.jpg,Super Sized heroes,"Yellow , Red , Green","graphic, comic-and-cartoon, quirky, famous, humour, movies-and-television",,
bhishoom-2-182.jpg,Super Sparrow League,"Red , brown , Green","graphic, comic-and-cartoon, quirky, famous, humour, movies-and-television",,
bhishoom-2-183.jpg,Supermask Jhakkas,"Blue , Yellow , Black","graphic, comic-and-cartoon, quirky, famous, humour, movies-and-television",,
bhishoom-2-184.jpg,Swat Cats,"Black , Orange , Green","graphic, comic-and-cartoon, quirky",,
bhishoom-2-185.jpg,Buri Nazar Waale,"Blue , Red , White","typography, humour, graphic, desi, party, quirky, auto-and-transportation",,
bhishoom-2-186.jpg,The EGYPTION diaries,"Blue , Yellow","graphic, quirky, humour",,
bhishoom-2-187.jpg,Retirement  Life,"Blue , Red , Yellow","graphic, comic-and-cartoon, famous, humour",,
bhishoom-2-188.jpg,The Flash ,"Red , Yellow , White","graphic, comic-and-cartoon, famous, movies-and-television",,
bhishoom-2-189.jpg,The Incredible HULK,"Black , Red , Green","graphic, comic-and-cartoon, famous, movies-and-television",,
bhishoom-2-190.jpg,The Ugly Gang,"brown , Green , Blue","humour, comic-and-cartoon, graphic, quirky",,
bhishoom-2-191.jpg,Think Different,"White , Orange , Yellow","graphic, typography, humour, profession-and-personality",,
bhishoom-2-192.jpg,Thoranium,"brown , Red , Black","graphic, comic-and-cartoon, quirky, party, movies-and-television, famous, humour",,
bhishoom-2-193.jpg,Tron Legacy,"Black , Blue","graphic, party, movies-and-television, famous",,
bhishoom-2-194.jpg,It Says It ALL,"Red , White , Black","typography, humour, party, quirky",,
bhishoom-2-195.jpg,Ungli Mat Karna,"brown , Red , White","typography, graphic, desi, humour, party",,
bhishoom-2-196.jpg,Vellapanti,"White , brown , Red","typography, graphic, desi, humour, party, profession-and-personality",,
bhishoom-2-197.jpg,4 bottle Vodka,"Black , White , Blue","typography, graphic, desi, party, quirky, music, movies-and-television, profession-and-personality",,
bhishoom-2-198.jpg,Warning ,"Black , Red , White","graphic, typography, humour, party, quirky",,
bhishoom-2-199.jpg,What IS MOBILE number,"Red , White , Yellow","graphic, typography, humour, party, quirky, desi",,
bhishoom-2-200.jpg,Why So Serious,"Black , White , Blue","movies-and-television, graphic, famous",,
bhishoom-2-201.jpg,Wolverine,"Yellow , Blue , Red","comic-and-cartoon, movies-and-television, graphic",,
bhishoom-2-202.jpg,Yaar Tera SUPERSTAR,"Blue , Red , Yellow","comic-and-cartoon, quirky, party, movies-and-television, famous, humour, typography, profession-and-personality",,
bhishoom-2-203.jpg,Yeh Dosti ..!!,"brown , White , Yellow","typography, humour, graphic, desi, party, quirky",,
bhishoom-2-204.jpg,Heart in Hand,"Blue , Red , Black","graphic, quirky, party",,
bhishoom-2-205.jpg,Yoga O holics ,"Red , brown , White","graphic, typography, humour, party, quirky, desi",,
bhishoom-2-206.jpg,You Are Invited ,"Yellow , White , Blue","graphic, humour, party, typography, quirky",,
bhishoom-2-207.jpg,Zara Sambhaal Ke,"Black , White , Red","typography, graphic, quirky, desi, humour, party, profession-and-personality",,
bhishoom-2-208.jpg,Zilch To Zenith,"Black , White , Green","graphic, typography",,
bhishoom-2-209.jpg,Bachelor Party,"Yellow , Black , Red","graphic, humour, party, typography, quirky",,
bhishoom-2-210.jpg,Hello Zombie,"Black , White , Red","graphic, comic-and-cartoon, quirky, famous, humour, party",,
bhishoom-2-211.jpg,Keep It Real,"Black , White , Orange","graphic, typography, party",,
bhishoom-2-212.jpg,It’s a Trap Mickey ,"Red , Yellow , White","graphic, comic-and-cartoon, quirky, famous, humour, movies-and-television",,
bhishoom-2-213.jpg,Battery life..!,"Black , White , Green","graphic, typography, humour, quirky",,
bhishoom-2-214.jpg,War Time,"Blue , cream","graphic, comic-and-cartoon, famous, movies-and-television",,
bhishoom-2-215.jpg,Moshi Moshi ,"Orange , brown , Green","graphic, comic-and-cartoon, famous, movies-and-television, sports",,
bhishoom-2-216.jpg,Pokemon Ball,"brown , White , Orange","quirky, comic-and-cartoon, typography, humour, famous",,
bhishoom-2-217.jpg,Whats Up parker,"Black , White , Red","graphic, movies-and-television, comic-and-cartoon, famous",,
bhishoom-2-218.jpg,I am A Superstar,"Black , White , Red","graphic, humour, party, quirky, comic-and-cartoon, music, profession-and-personality",,
bhishoom-2-219.jpg,HUG Me,"White , Orange , aqua","typography, humour, graphic, party, quirky",,
bhishoom-2-220.jpg,Monster DJ,"Black , White , Red","graphic, party, quirky, music, humour, profession-and-personality",,
bhishoom-2-221.jpg,Life Is Good,"brown , pink , Blue","graphic, typography",,
bhishoom-2-222.jpg,Spooky Gothic,"Black , Green , White","graphic, comic-and-cartoon, quirky, movies-and-television, famous, typography",,
bhishoom-2-223.jpg,I AM OK,"Green, Red","graphic, quirky, fashion, typography, humour",,
bhishoom-2-224.jpg,Hulk Style,"Green, Yellow","fashion, graphic, quirky, humour, famous, comic-and-cartoon",,
bhishoom-2-225.jpg,Desi Theka,"Black, Red, ","quirky, desi, typography, humour, party",,
bhishoom-2-226.jpg,We Will Rock You,"Black, Red, Blue","graphic, comic-and-cartoon",,
#Sexy.png,#Sexy,"Black,Red","desi",,

